0 [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [22, 0], [23, 0], [24, 0], [25, 0], [26, 0], [27, 0], [28, 0], [29, 0], [30, 0]]
1 [[1, 0], [2, 0], [3, 0], [4, 251347753.28937998], [5, 0], [6, 248551971.48964304], [7, 0], [8, 0], [9, 252050182.13853824], [10, 0], [11, 0], [12, 0], [13, 252475058.84573835], [14, 0], [15, 252585248.328662], [16, 0], [17, 253681486.97992387], [18, 0], [19, 0], [20, 248062216.84931841], [21, 0], [22, 251270486.48388183], [23, 0], [24, 0], [25, 0], [26, 248007384.28003526], [27, 0], [28, 0], [29, 0], [30, 253189193.47430617]]
2 [[1, 256763454.25839868], [2, 0], [3, 248843234.9552529], [4, 232695506.57875997], [5, 248949923.70256785], [6, 248551971.48964304], [7, 251260939.93095666], [8, 0], [9, 234100364.27707648], [10, 252459396.28920755], [11, 0], [12, 254305326.1881205], [13, 252475058.84573835], [14, 254023405.56262928], [15, 252585248.328662], [16, 0], [17, 253681486.97992387], [18, 0], [19, 252859778.62183285], [20, 248062216.84931841], [21, 256868077.05234846], [22, 232540972.96776366], [23, 0], [24, 251002967.8163546], [25, 260137416.00359738], [26, 248007384.28003526], [27, 256060014.02922702], [28, 257464467.41654715], [29, 0], [30, 253189193.47430617]]
3 [[1, 256763454.25839868], [2, 0], [3, 227686469.91050577], [4, 232695506.57875997], [5, 227899847.4051357], [6, 0], [7, 232521879.86191332], [8, 0], [9, 234100364.27707648], [10, 252459396.28920755], [11, 0], [12, 254305326.1881205], [13, 256953907.3136397], [14, 254023405.56262928], [15, 257590784.87829235], [16, 0], [17, 257186984.7638647], [18, 0], [19, 235719557.2436657], [20, 254818160.3527042], [21, 256868077.05234846], [22, 213811459.4516455], [23, 243873541.34535187], [24, 251002967.8163546], [25, 260137416.00359738], [26, 0], [27, 256060014.02922702], [28, 244928934.8330943], [29, 257843853.73090348], [30, 255565904.26316676]]
4 [[1, 0], [2, 256048193.38326544], [3, 206529704.86575866], [4, 255534307.6984069], [5, 227899847.4051357], [6, 248551971.48964304], [7, 232521879.86191332], [8, 0], [9, 252050182.13853824], [10, 0], [11, 255861508.9493619], [12, 0], [13, 243907814.6272794], [14, 0], [15, 257590784.87829235], [16, 0], [17, 257186984.7638647], [18, 0], [19, 218579335.86549854], [20, 239636320.7054084], [21, 0], [22, 195081945.93552732], [23, 243873541.34535187], [24, 0], [25, 0], [26, 0], [27, 252328047.2401668], [28, 244928934.8330943], [29, 245687707.46180695], [30, 241131808.5263335]]
5 [[1, 259698994.15805525], [2, 256048193.38326544], [3, 206529704.86575866], [4, 255534307.6984069], [5, 257286163.94138664], [6, 227103942.97928607], [7, 253677214.06045076], [8, 0], [9, 234100364.27707648], [10, 0], [11, 255861508.9493619], [12, 250403220.81994608], [13, 243907814.6272794], [14, 0], [15, 0], [16, 0], [17, 254828121.40162486], [18, 0], [19, 218579335.86549854], [20, 224454481.0581126], [21, 0], [22, 195081945.93552732], [23, 259577134.78709874], [24, 0], [25, 0], [26, 241364171.9933628], [27, 252328047.2401668], [28, 0], [29, 233531561.19271043], [30, 226697712.78950027]]
6 [[1, 259698994.15805525], [2, 0], [3, 256088044.91364878], [4, 253682371.7847941], [5, 257286163.94138664], [6, 205655914.4689291], [7, 253677214.06045076], [8, 258001441.56353205], [9, 234100364.27707648], [10, 0], [11, 247970985.26613268], [12, 250403220.81994608], [13, 256154946.07566082], [14, 0], [15, 0], [16, 0], [17, 254828121.40162486], [18, 253643174.85358557], [19, 253091186.93735656], [20, 224454481.0581126], [21, 0], [22, 257757253.07739544], [23, 259577134.78709874], [24, 0], [25, 0], [26, 212728343.98672563], [27, 0], [28, 0], [29, 221375414.9236139], [30, 212263617.05266702]]
7 [[1, 258915256.14640275], [2, 0], [3, 256088044.91364878], [4, 253682371.7847941], [5, 252816943.39640802], [6, 184207885.95857215], [7, 0], [8, 258001441.56353205], [9, 261168789.61760902], [10, 249658462.7638365], [11, 247970985.26613268], [12, 255240133.06368738], [13, 256154946.07566082], [14, 258269264.76464516], [15, 0], [16, 0], [17, 0], [18, 237286349.70717114], [19, 253091186.93735656], [20, 255885706.40365064], [21, 0], [22, 257757253.07739544], [23, 254209734.59386265], [24, 0], [25, 0], [26, 184092515.98008844], [27, 0], [28, 0], [29, 221375414.9236139], [30, 197829521.31583378]]
8 [[1, 258915256.14640275], [2, 0], [3, 0], [4, 256120409.2861778], [5, 252816943.39640802], [6, 162759857.4482152], [7, 0], [8, 254022554.393294], [9, 261168789.61760902], [10, 229316925.527673], [11, 254829309.61894128], [12, 255240133.06368738], [13, 0], [14, 258269264.76464516], [15, 0], [16, 0], [17, 0], [18, 237286349.70717114], [19, 0], [20, 241771412.80730128], [21, 258602888.8316146], [22, 256211710.27338278], [23, 254209734.59386265], [24, 0], [25, 0], [26, 184092515.98008844], [27, 0], [28, 260903802.0286748], [29, 0], [30, 183395425.57900053]]
9 [[1, 257240619.31953213], [2, 256010212.47259453], [3, 0], [4, 256120409.2861778], [5, 0], [6, 141311828.93785822], [7, 257400870.70961633], [8, 238045108.786588], [9, 255627503.24039942], [10, 208975388.2915095], [11, 239658619.23788255], [12, 0], [13, 0], [14, 261272095.33961144], [15, 251477571.91879207], [16, 258089207.77879336], [17, 0], [18, 254697514.83824643], [19, 260994219.2309368], [20, 227657119.21095192], [21, 247205777.66322923], [22, 242423420.54676557], [23, 251834769.3584929], [24, 0], [25, 241857273.0601591], [26, 249202750.62855142], [27, 0], [28, 260903802.0286748], [29, 0], [30, 183395425.57900053]]
10 [[1, 257240619.31953213], [2, 256010212.47259453], [3, 257009393.27874744], [4, 0], [5, 0], [6, 119863800.42750125], [7, 257400870.70961633], [8, 238045108.786588], [9, 241255006.48079884], [10, 188633851.055346], [11, 224487928.85682383], [12, 0], [13, 0], [14, 261272095.33961144], [15, 232955143.83758414], [16, 246178415.55758673], [17, 0], [18, 254697514.83824643], [19, 260994219.2309368], [20, 213542825.61460257], [21, 247205777.66322923], [22, 242423420.54676557], [23, 233669538.71698582], [24, 0], [25, 241857273.0601591], [26, 228405501.25710285], [27, 0], [28, 254701570.31605834], [29, 0], [30, 0]]
